,Dataset,Start age,End age,Sex,Tissue,Subtissue,Cell type,Gene,dExpression,Confidence,Expression at start age,Expression at end age,Max expression std. dev
50,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Dcaf7,45.06200408935547,low,5.516026067198254e-05,1.2240958540132851e-06,1.1635886039584875e-05
51,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Setd5,44.08477020263672,low,9.197279723593965e-05,2.0862705696345074e-06,2.210630918852985e-05
52,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Usp14,42.06341552734375,low,0.00015238739433698356,3.6228002500138246e-06,3.140374246868305e-05
53,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Abr,41.60276794433594,low,0.00024039031995926052,5.778228114650119e-06,5.72172793908976e-05
54,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Eif4g1,38.829566955566406,low,0.0001983893453143537,5.109233370603761e-06,2.0219038560753688e-05
55,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Mapk8,38.664310455322266,low,1.159277144324733e-05,2.9983033300595707e-07,7.726307558186818e-07
56,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Fam63b,38.002689361572266,low,0.00011700607865350321,3.0788885396759724e-06,1.613821768842172e-05
57,facs,3m,24m,male,Heart,RV,smooth muscle cell,Nfic,34.21809387207031,low,0.00017187208868563175,5.022841378377052e-06,3.569317777873948e-05
58,facs,3m,24m,male,Marrow,KLS,naive B cell,Hnrnpc,32.247623443603516,low,0.0008602550369687378,2.6676540073822252e-05,8.745181548874825e-05
59,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Habp4,29.995569229125977,low,0.00013014684373047203,4.338868166087195e-06,1.835448529163841e-05
60,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Rab2a,29.241680145263672,low,0.00057167187333107,1.9549896023818292e-05,6.986805965425447e-05
61,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Mmgt1,29.147235870361328,low,6.339923857012764e-05,2.1751363874500385e-06,1.0355677659390494e-05
62,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,H2afy,27.559703826904297,low,0.00019749936473090202,7.16623617336154e-06,2.606572707009036e-05
63,facs,3m,24m,male,Heart,RV,smooth muscle cell,Tra2b,25.839624404907227,low,0.0002655244607012719,1.0275863132847007e-05,1.429634812666336e-05
64,facs,3m,24m,male,Heart,RV,smooth muscle cell,2810428I15Rik,25.670124053955078,low,0.00013513297017198056,5.264210813038517e-06,2.0130402845097706e-05
65,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Gdi1,25.06322479248047,low,0.00039324606768786907,1.5690160580561496e-05,7.865211955504492e-05
66,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Rsrc1,24.928234100341797,low,4.583557529258542e-05,1.8387002000963548e-06,7.1268091232923325e-06
67,facs,3m,24m,male,Marrow,T-cells,late pro-B cell,Gng10,24.431503295898438,low,3.0480845452984795e-05,0.0007446929230354726,0.0001043185475282371
68,facs,3m,24m,male,Heart,RV,smooth muscle cell,Son,24.259098052978516,low,0.00012644995877053589,5.212474661675515e-06,2.397339449089486e-05
69,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Ypel5,23.63601303100586,low,0.00020580423006322235,8.707230335858185e-06,3.0360990422195755e-05
70,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,1810022K09Rik,22.63136863708496,low,8.574952516937628e-05,3.788966751017142e-06,1.5443056327058002e-05
71,facs,3m,24m,male,Marrow,T-cells,granulocytopoietic cell,Hist1h2ab,22.621097564697266,low,0.00045099385897628963,1.9936867829528637e-05,6.776619557058439e-05
72,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Anp32b,22.53068733215332,low,3.615450987126678e-05,1.6046774362621363e-06,8.607833478890825e-06
73,facs,3m,24m,male,BAT,Fat,NK cell,Whsc1l1,22.440885543823242,low,2.6982015697285533e-05,0.0006055003614164889,5.147761112311855e-05
74,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Rplp0,21.424551010131836,low,0.00018459053535480052,8.615840670245234e-06,3.552401176420972e-05
75,facs,3m,24m,male,Heart,RV,smooth muscle cell,Prdx3,20.350372314453125,low,0.0003212607989553362,1.578648152644746e-05,4.628938768291846e-05
76,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Rraga,19.075664520263672,low,0.00028236789512448013,1.4802518307988066e-05,5.714257713407278e-05
77,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Rac1,18.258609771728516,low,0.00019959022756665945,1.0931293218163773e-05,2.695038892852608e-05
78,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Hspe1,17.514415740966797,low,0.00019953709852416068,1.1392734450055286e-05,4.187239392194897e-05
79,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Uchl5,17.107982635498047,low,5.772074291598983e-05,3.3739061109372415e-06,1.2459564459277317e-05
80,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Mapkap1,16.45646858215332,low,9.082312317332253e-05,5.518991656572325e-06,1.9201115719624795e-05
81,facs,3m,24m,male,Marrow,T-cells,granulocytopoietic cell,Dhx15,16.12666893005371,low,0.00019692567002493888,1.2211180546728428e-05,3.384032970643602e-05
82,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Gpm6a,15.66448974609375,low,0.00045810718438588083,2.9244945835671388e-05,8.480664109811187e-05
83,facs,3m,24m,male,Heart,RV,smooth muscle cell,C1qbp,15.44394302368164,low,0.00017608178313821554,1.1401348274375778e-05,2.792748637148179e-05
84,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Ociad1,15.245709419250488,low,0.0006245953845791519,4.0968599932966754e-05,0.00011696721048792824
85,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Sqstm1,14.898940086364746,low,0.0005039646057412028,3.382553404662758e-05,7.173463382059708e-05
86,facs,3m,24m,male,Heart,RV,atrial myocyte,Egr1,13.928227424621582,low,0.001849191845394671,0.00013276576646603644,0.0002950190391857177
87,facs,3m,24m,male,Heart,RV,smooth muscle cell,Blmh,12.584068298339844,low,0.0004304260655771941,3.420404755161144e-05,8.378246275242418e-05
88,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Ywhaz,10.178587913513184,low,0.0007347743376158178,7.218823884613812e-05,0.00016123020031955093
89,facs,3m,24m,male,Pancreas,Exocrine,pancreatic stellate cell,Abhd16a,10.097661018371582,low,6.186101381899789e-05,0.0006246515549719334,0.00012336914369370788
90,facs,3m,24m,male,Marrow,T-cells,late pro-B cell,Gadd45gip1,9.94238567352295,low,3.4373588277958333e-05,0.00034175548353232443,6.071141251595691e-05
91,facs,3m,24m,male,Marrow,T-cells,immature B cell,Tmsb10,8.794313430786133,low,9.355727524962276e-05,0.0008227719808928668,0.00014500287943519652
92,facs,3m,24m,male,Heart,RV,smooth muscle cell,Fermt2,8.409576416015625,low,0.0002789145801216364,3.316630682093091e-05,5.083139330963604e-05
93,facs,3m,24m,male,Heart,RV,smooth muscle cell,Atp5j2,7.897420883178711,low,0.00019170991436112672,2.42750011238968e-05,3.589597690734081e-05
94,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,brain pericyte,Swi5,7.240354061126709,low,0.00014326264499686658,0.0010372722754254937,0.0001825126091716811
95,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,medium spiny neuron,Agtpbp1,7.028994560241699,low,5.850868546986021e-05,0.00041125723510049284,8.153079397743568e-05
96,facs,3m,24m,male,Heart,RV,smooth muscle cell,Rock1,5.709273338317871,low,0.0008379295468330383,0.00014676641148980707,0.00017150095663964748
97,facs,3m,24m,male,Aorta,Heart,macrophage,Lgals3,5.34489631652832,low,0.0003578383184503764,0.0019126086262986064,0.00034995749592781067
98,facs,3m,24m,male,Marrow,T-cells,late pro-B cell,Rpsa,5.111270904541016,low,0.0013487390242516994,0.006893770303577185,0.0013369768857955933
99,facs,3m,24m,male,Marrow,T-cells,immature B cell,Cfl1,4.983508586883545,low,0.0009635951137170196,0.004802084527909756,0.0009180501801893115
