,Dataset,Start age,End age,sex,tissue,subtissue,cell_ontology_class,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
36,droplet,3m,18m,female,Spleen,nan,T cell,Eea1,26.4284725189209,9.25342919799732e-06,0.00024455401580780745,0.0004738876596093178,7.333854731300668e-28
37,droplet,3m,18m,female,Marrow,nan,proerythroblast,Jun,26.265384674072266,0.0003980353067163378,1.5154367247305345e-05,0.0005032228655181825,1.2690396266725981e-17
38,droplet,3m,18m,female,Marrow,nan,proerythroblast,Osm,26.20140838623047,0.00028125534299761057,1.0734358511399478e-05,0.000351500028045848,1.6271086391216128e-17
39,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Tcn2,25.610185623168945,5.1292572607053444e-05,0.0013136123307049274,0.0009480863227508962,1.9576932037860733e-22
40,droplet,3m,18m,male,Kidney,nan,kidney loop of Henle thick ascending limb epithelial cell,S100a9,24.903059005737305,4.8116166908585e-06,0.00011982399882981554,0.00016633006453048438,8.039921841531778e-07
41,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Psap,24.713123321533203,2.2230125978239812e-05,0.0005493758944794536,0.0006122342892922461,2.5826091106836056e-08
42,droplet,3m,18m,female,Marrow,nan,proerythroblast,Clip1,24.194040298461914,6.761891563655809e-05,2.794857437038445e-06,0.0001255941897397861,7.404988998708817e-06
43,droplet,3m,18m,female,Marrow,nan,naive T cell,Fosb,23.979745864868164,4.492637890507467e-05,1.873512587735604e-06,5.433259138953872e-05,1.2668830696218546e-13
44,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Maf,23.599180221557617,2.2230125978239812e-05,0.0005246127839200199,0.0006166883977130055,4.3372669484451734e-07
45,droplet,3m,18m,female,Spleen,nan,T cell,Stx11,23.408849716186523,3.2074844966700766e-06,7.50835461076349e-05,0.00020208093337714672,2.331632579902497e-12
46,droplet,3m,18m,female,Marrow,nan,proerythroblast,Fos,23.055021286010742,0.0016262298449873924,7.053690205793828e-05,0.001424501184374094,5.543561933700585e-40
47,droplet,3m,18m,female,Spleen,nan,T cell,Ctla4,22.989381790161133,7.482869477826171e-06,0.00017202655726578087,0.0003148989344481379,9.333025280130713e-31
48,droplet,3m,18m,male,Kidney,nan,podocyte,Dbp,22.373748779296875,0.00033478744444437325,1.4963403373258188e-05,0.0003235813637729734,2.262007887605707e-09
49,droplet,3m,18m,female,Spleen,nan,T cell,Pdcd1,21.218128204345703,6.655553988821339e-06,0.00014121842104941607,0.0003155415179207921,2.8120698048484846e-19
50,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,App,20.819196701049805,3.243383616791107e-05,0.0006752464105375111,0.0005826710839755833,3.7086944279898304e-14
51,droplet,3m,18m,female,Lung,nan,T cell,Il7r,20.722980499267578,5.7161734730470926e-05,0.0011845615226775408,0.0008107663597911596,5.1106121400082694e-11
52,droplet,3m,18m,female,Mammary_Gland,nan,T cell,Gzmm,19.48808479309082,8.05720810603816e-06,0.00015701957454439253,0.0003768281894735992,1.6446330731648806e-12
53,droplet,3m,18m,female,Spleen,nan,T cell,Tiam1,19.188629150390625,4.06097342420253e-06,7.792453106958419e-05,0.00018899986753240228,2.099120489846617e-15
54,droplet,3m,18m,female,Marrow,nan,proerythroblast,Lsm10,18.787921905517578,6.290319288382307e-05,3.3480646379757673e-06,0.00010978438513120636,3.814891737917175e-06
55,droplet,3m,18m,female,Spleen,nan,T cell,Ttc39c,18.771913528442383,1.7213425280715455e-06,3.2312913390342146e-05,0.0001054767199093476,1.7414963703647336e-06
56,droplet,3m,18m,female,Spleen,nan,B cell,Rgs1,17.864803314208984,8.985948625195306e-07,1.6053238141466863e-05,8.039201202336699e-05,1.4480424389210418e-16
57,droplet,3m,18m,female,Marrow,nan,erythroblast,Hist1h2ab,17.771240234375,0.0003308994637336582,1.8619939510244876e-05,0.00036048045149073005,5.849957575070123e-07
58,droplet,3m,18m,female,Marrow,nan,naive B cell,Klf6,16.899686813354492,0.0010845643701031804,6.417659460566938e-05,0.0008071751799434423,4.4925449172700975e-17
59,droplet,3m,18m,male,Kidney,nan,kidney distal convoluted tubule epithelial cell,Tnfrsf12a,16.86261558532715,1.8929355064756237e-05,0.0003191984724253416,0.00033921495196409523,4.600095432488032e-06
60,droplet,3m,18m,male,Kidney,nan,epithelial cell of proximal tubule,Cyp4a14,16.7623233795166,5.664646323566558e-06,9.495265112491325e-05,0.00021894712699577212,9.767141074285878e-08
61,droplet,3m,18m,female,Marrow,nan,naive B cell,Jun,16.577621459960938,0.003736878512427211,0.00022541703947354108,0.0026134932413697243,2.0156657344203455e-20
62,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Snhg11,16.522245407104492,3.1608922199666267e-06,5.222505205892958e-05,0.00015723223623353988,3.7854776360437033e-06
63,droplet,3m,18m,female,Spleen,nan,T cell,Serpina3g,16.412321090698242,7.422367616527481e-06,0.00012181830243207514,0.00030705775134265423,5.475040961684298e-14
64,droplet,3m,18m,female,Marrow,nan,monocyte,Dusp2,16.341957092285156,6.553965067723766e-05,4.010513293906115e-06,0.00013337093696463853,5.096275502933579e-17
65,droplet,3m,18m,female,Spleen,nan,T cell,S100a4,16.14461898803711,2.595927617221605e-05,0.0004191026382613927,0.0009212098084390163,2.7986491578753532e-19
66,droplet,3m,18m,female,Marrow,nan,megakaryocyte-erythroid progenitor cell,Lyst,16.134502410888672,5.3997780923964456e-05,3.3467263165221084e-06,5.700509427697398e-05,2.1310612188344407e-16
67,droplet,3m,18m,female,Marrow,nan,erythroblast,Hist1h1b,16.016103744506836,0.001593215623870492,9.947585203917697e-05,0.0014233881374821067,3.8520187841923205e-12
68,droplet,3m,18m,female,Spleen,nan,T cell,Maf,16.00217628479004,9.131919796345755e-06,0.00014613060920964926,0.00027546336059458554,2.1807259126985747e-26
69,droplet,3m,18m,female,Lung,nan,dendritic cell,Tubg1,15.954867362976074,7.900142009020783e-06,0.0001260457356693223,2.441555079712998e-05,1.1592832934869805e-08
70,droplet,3m,18m,male,Kidney,nan,kidney proximal convoluted tubule epithelial cell,Lars2,15.600883483886719,7.818019366823137e-05,0.001219680067151785,0.001745595713146031,7.079477446305751e-06
71,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Psmg3,15.28553581237793,3.782150452025235e-05,2.474331949997577e-06,6.689993460895494e-05,1.316022000325697e-16
72,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Acsm2,15.277789115905762,0.00012542087642941624,0.0019161537056788802,0.0014220805605873466,3.1642923331395176e-22
73,droplet,3m,18m,female,Spleen,nan,T cell,S100a6,15.173003196716309,6.794502405682579e-05,0.0010309300851076841,0.001712664496153593,5.466956279145063e-36
74,droplet,3m,18m,female,Spleen,nan,T cell,Asb2,15.091318130493164,2.553119657022762e-06,3.8529953599208966e-05,0.00012707512360066175,3.810461794736387e-06
75,droplet,3m,18m,female,Mammary_Gland,nan,luminal epithelial cell of mammary gland,Arg1,14.961771965026855,2.096363004966406e-06,3.1365318136522546e-05,8.699080353835598e-05,1.4176207957293504e-16
76,droplet,3m,18m,male,Kidney,nan,podocyte,S100a8,14.889013290405273,4.858727152168285e-06,7.23416669643484e-05,6.437980482587591e-05,2.703431835391754e-07
77,droplet,3m,18m,female,Spleen,nan,B cell,Fgl2,14.605060577392578,1.5828163668629713e-06,2.3117143427953124e-05,9.370237239636481e-05,2.0619424691566872e-29
78,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Chac1,14.455353736877441,7.705322786932811e-05,5.330427484295797e-06,0.00012116637662984431,6.308756448024287e-23
79,droplet,3m,18m,female,Marrow,nan,hematopoietic precursor cell,Fos,14.310614585876465,0.0009307002765126526,6.50356596452184e-05,0.0009704672847874463,2.5900248133422617e-44
80,droplet,3m,18m,female,Spleen,nan,T cell,Nrp1,14.18466567993164,1.3073795344098471e-05,0.0001854474248830229,0.0003266665153205395,8.899868611022532e-31
81,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Psat1,14.103999137878418,2.7565798518480733e-05,1.9544659153325483e-06,5.551359208766371e-05,4.8986235501467423e-11
82,droplet,3m,18m,male,Kidney,nan,kidney capillary endothelial cell,Plvap,13.998641014099121,0.0038353281561285257,0.0002739785995800048,0.003242149017751217,1.4005847531521635e-07
83,droplet,3m,18m,female,Spleen,nan,T cell,Mdfic,13.941614151000977,3.528567276589456e-06,4.9193935410585254e-05,0.00013397893053479493,2.770439248140995e-10
84,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Nr4a2,13.914811134338379,6.078278147469973e-06,8.457810326945037e-05,0.00018301440286450088,1.5328685394077696e-14
85,droplet,3m,18m,female,Kidney,nan,kidney proximal convoluted tubule epithelial cell,Mid1,13.81988525390625,9.617270961825852e-07,1.3290972674440127e-05,4.6454963012365624e-05,2.4767167726861685e-06
86,droplet,3m,18m,female,Lung,nan,dendritic cell,Me2,13.777036666870117,7.900142009020783e-06,0.0001088405551854521,1.580028583703097e-05,1.7213239617480077e-15
87,droplet,3m,18m,female,Mammary_Gland,nan,luminal epithelial cell of mammary gland,Mid1,13.64601993560791,2.3499876533605857e-06,3.2067990105133504e-05,6.98662843205966e-05,7.004869413838315e-25
88,droplet,3m,18m,female,Heart_and_Aorta,nan,endocardial cell,Rn45s,13.502824783325195,0.02864936739206314,0.0021217314060777426,0.019173551350831985,8.408998226588655e-22
89,droplet,3m,18m,female,Marrow,nan,proerythroblast,Lyst,13.284554481506348,0.00010378236038377509,7.812256626493763e-06,0.00013994066102895886,9.839410368653378e-11
90,droplet,3m,18m,female,Kidney,nan,fibroblast,Bok,13.138797760009766,5.669487654813565e-05,0.000744902528822422,0.00020750433031935245,5.406494415613757e-08
91,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Dnase1,13.111724853515625,8.372640877496451e-05,0.0010977976489812136,0.001197744277305901,1.2340070749296773e-07
92,droplet,3m,18m,female,Spleen,nan,T cell,Plscr1,13.106578826904297,3.902534444932826e-06,5.114888699608855e-05,0.00015853623335715383,2.7249995573556175e-07
93,droplet,3m,18m,female,Mammary_Gland,nan,B cell,Hspa1a,13.054410934448242,0.001315257279202342,0.00010075194586534053,0.004436874762177467,1.4756711240009508e-07
94,droplet,3m,18m,female,Marrow,nan,proerythroblast,Cxcl2,13.044201850891113,0.0006778414244763553,5.196495840209536e-05,0.0011271486291661859,4.3992485861883584e-07
95,droplet,3m,18m,female,Marrow,nan,granulocytopoietic cell,Cd69,12.987651824951172,4.378804442239925e-05,3.371512775629526e-06,0.00014925599680282176,2.0783233000409399e-07
96,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Nox4,12.929701805114746,5.1292572607053444e-05,0.000663197657559067,0.000652572198305279,1.465591606751786e-07
97,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Mthfd2,12.844924926757812,0.00018085679039359093,1.4080018445383757e-05,0.00016689783660694957,1.2601219455595553e-71
98,droplet,3m,18m,female,Spleen,nan,T cell,Rgs1,12.570616722106934,9.81055200099945e-06,0.00012332470214460045,0.0003418308624532074,3.096473085871262e-10
99,droplet,3m,18m,female,Marrow,nan,granulocytopoietic cell,Fos,12.450196266174316,0.0005057414527982473,4.0621162042953074e-05,0.000583281391300261,2.321258792267759e-94
100,droplet,3m,18m,female,Marrow,nan,monocyte,Ccl3,12.431730270385742,0.0002557814004831016,2.0574882000801153e-05,0.0004780238959938288,2.507957967655073e-21
101,droplet,3m,18m,female,Marrow,nan,granulocytopoietic cell,Gm4759,12.387164115905762,3.1467818189412355e-05,2.5403560357517563e-06,8.687010267749429e-05,2.1686443192530246e-11
102,droplet,3m,18m,female,Marrow,nan,naive B cell,Rgs1,12.343132972717285,0.000672266585752368,5.446482464321889e-05,0.0006523213814944029,4.123138740601289e-08
103,droplet,3m,18m,female,Marrow,nan,precursor B cell,Dusp1,12.167778968811035,0.0001634014188311994,1.342902487522224e-05,0.0002608552749734372,3.400707762012413e-12
104,droplet,3m,18m,female,Marrow,nan,promonocyte,Cct6a,12.125162124633789,4.303644527681172e-05,3.5493492305249674e-06,6.046832641004585e-05,2.5044495866423543e-15
105,droplet,3m,18m,female,Spleen,nan,T cell,Tnfrsf4,12.092095375061035,3.45711232512258e-05,0.00041803732165135443,0.0007786165806464851,1.9559866305194143e-25
106,droplet,3m,18m,female,Spleen,nan,T cell,Tnfsf8,11.784354209899902,4.276108666090295e-05,0.0005039118113927543,0.0010864748619496822,1.7558248899200307e-19
107,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Mettl7a1,11.757294654846191,4.169446401647292e-05,0.0004902140935882926,0.0004784543707501143,6.477041543047574e-07
108,droplet,3m,18m,female,Spleen,nan,T cell,Cyfip1,11.676370620727539,5.302321369526908e-06,6.191188003867865e-05,0.00014499080134555697,7.069832656508441e-15
109,droplet,3m,18m,female,Spleen,nan,T cell,Tbc1d4,11.606684684753418,1.93141295312671e-05,0.00022417303989641368,0.0004076074401382357,7.137049213327665e-28
110,droplet,3m,18m,female,Mammary_Gland,nan,luminal epithelial cell of mammary gland,Krt14,11.586722373962402,6.472240784205496e-05,0.0007499205530621111,0.0027329493314027786,4.241795658222097e-09
111,droplet,3m,18m,female,Marrow,nan,erythroblast,Hist1h1e,11.548386573791504,0.0017575579695403576,0.0001521907834103331,0.0015207636170089245,4.102958803014885e-12
112,droplet,3m,18m,female,Marrow,nan,promonocyte,Ppp1r15a,11.503256797790527,0.0001296138798352331,1.1267580703133717e-05,0.00010766155901364982,2.6033233486379777e-52
113,droplet,3m,18m,female,Spleen,nan,T cell,Dusp1,11.382852554321289,2.289585791004356e-05,0.00026062020333483815,0.00044009159319102764,6.355105144509219e-33
114,droplet,3m,18m,female,Marrow,nan,promonocyte,Ccl2,11.155255317687988,5.590043656411581e-05,5.011129360354971e-06,0.00011108836770290509,1.6509813071292572e-06
115,droplet,3m,18m,female,Spleen,nan,B cell,Emr1,11.112428665161133,1.2899168950752937e-06,1.4334121260617394e-05,7.53298809286207e-05,4.315056567285716e-12
116,droplet,3m,18m,female,Mammary_Gland,nan,luminal epithelial cell of mammary gland,Il33,11.076828956604004,7.68421796237817e-06,8.511677879141644e-05,0.00029796900344081223,1.0935011477895916e-08
117,droplet,3m,18m,female,Marrow,nan,precursor B cell,Fos,11.045234680175781,0.0011305053485557437,0.00010235231457045302,0.0009345437865704298,9.175845283479019e-60
118,droplet,3m,18m,male,Kidney,nan,kidney capillary endothelial cell,Lpl,10.93019962310791,0.0001717317645670846,0.001877062488347292,0.0007524323300458491,3.2235154865163026e-08
119,droplet,3m,18m,female,Spleen,nan,T cell,Bcl2a1d,10.89760971069336,7.678168913116679e-06,8.367369446204975e-05,0.00019992614397779107,2.8440502047458744e-14
120,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Spp1,10.863245010375977,0.00034598898491822183,0.0037585629615932703,0.0026489906013011932,6.934305004841079e-20
121,droplet,3m,18m,female,Lung,nan,non-classical monocyte,S100a8,10.793368339538574,0.00017085195577237755,1.5829344192752615e-05,0.0002207212965004146,2.274730364520635e-12
122,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Neu1,10.716611862182617,4.169446401647292e-05,0.0004468233964871615,0.0004349267401266843,3.7286154310414368e-06
123,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Fam5c,10.5797758102417,6.3112379393714946e-06,6.677149212919176e-05,0.00015339917445089668,1.4743625827661128e-11
124,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Crlf1,10.5501127243042,3.924070915672928e-05,3.7194577089394443e-06,7.203667337307706e-05,3.1965089028445414e-13
125,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Pdia3,10.4533109664917,4.169446401647292e-05,0.0004358451988082379,0.00039541241130791605,8.576317547995318e-07
126,droplet,3m,18m,female,Spleen,nan,T cell,H1f0,10.428136825561523,5.450528988149017e-06,5.683887138729915e-05,0.00016245117876678705,1.3439329220018353e-08
127,droplet,3m,18m,female,Marrow,nan,promonocyte,Dusp1,10.414324760437012,0.00038258114363998175,3.673604805953801e-05,0.0003049880906473845,2.826637726623215e-58
128,droplet,3m,18m,female,Spleen,nan,B cell,C130026I21Rik,10.35765552520752,9.64860555541236e-06,9.9936944025103e-05,0.0002759501221589744,1.6496867811527198e-92
129,droplet,3m,18m,male,Kidney,nan,epithelial cell of proximal tubule,Rpl26,10.297236442565918,3.758471393666696e-06,3.8701877201674506e-05,8.183529280358925e-05,1.7697495368653703e-07
130,droplet,3m,18m,female,Mammary_Gland,nan,luminal epithelial cell of mammary gland,Abp1,10.28388786315918,1.304290799453156e-05,0.00013413181295618415,0.0005034066271036863,4.8578717778206213e-08
131,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Bcat1,10.268621444702148,2.225919160991907e-05,2.1676894448319217e-06,5.0993217882933095e-05,1.5699203427799762e-06
132,droplet,3m,18m,female,Kidney,nan,fibroblast,Eng,10.248526573181152,4.66680976387579e-05,0.00047827925300225616,0.00011865583655890077,2.373910282010183e-07
133,droplet,3m,18m,female,Spleen,nan,T cell,Ikzf2,10.246138572692871,2.491334998921957e-05,0.00025526565150357783,0.0004067059198860079,1.2086146592099868e-35
134,droplet,3m,18m,female,Lung,nan,mature NK T cell,Pafah1b1,10.22014045715332,2.605455847515259e-05,0.0002662812767084688,0.00025780085707083344,5.596205928817431e-07
135,droplet,3m,18m,female,Mammary_Gland,nan,luminal epithelial cell of mammary gland,Foxq1,10.200967788696289,5.7425149861956015e-06,5.857922224095091e-05,0.00014184681640472263,1.2387687247998288e-22
136,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Tspan8,10.181803703308105,1.4423362699744757e-05,0.00014685586211271584,0.0003703688853420317,3.68636504142487e-09
137,droplet,3m,18m,female,Spleen,nan,T cell,Sdcbp2,10.148941993713379,6.605791440961184e-06,6.704180123051628e-05,0.00014920716057531536,5.147336102312147e-16
138,droplet,3m,18m,female,Marrow,nan,promonocyte,Dusp2,10.123420715332031,4.63744618173223e-05,4.580907443596516e-06,8.77513739396818e-05,3.827757821096785e-07
139,droplet,3m,18m,female,Marrow,nan,granulocyte,Specc1,10.075912475585938,6.17218465777114e-05,6.125682375568431e-06,0.00014449830632656813,1.7020300192869467e-16
140,droplet,3m,18m,female,Marrow,nan,macrophage,Klf6,10.071945190429688,0.00015193263243418187,1.5084734513948206e-05,0.0001445029047317803,2.402210103869032e-15
141,droplet,3m,18m,female,Mammary_Gland,nan,luminal epithelial cell of mammary gland,Ly6k,9.998050689697266,5.783227607025765e-06,5.7821009249892086e-05,0.00019902682106476277,8.648654750978681e-10
142,droplet,3m,18m,female,Mammary_Gland,nan,endothelial cell,Id1,9.938957214355469,0.001896905479952693,0.00019085558596998453,0.002173446584492922,2.796852805065066e-28
143,droplet,3m,18m,female,Lung,nan,pulmonary interstitial fibroblast,Mrpl3,9.936164855957031,2.884254718082957e-05,0.0002865843125618994,9.991352271754295e-05,3.981604675336333e-07
144,droplet,3m,18m,female,Mammary_Gland,nan,luminal epithelial cell of mammary gland,Chac1,9.927477836608887,3.0360979508259334e-05,3.058276433876017e-06,8.7072177848313e-05,9.344143828011413e-06
145,droplet,3m,18m,female,Spleen,nan,T cell,Trps1,9.909198760986328,8.70339590619551e-06,8.624368638265878e-05,0.00020472111646085978,3.6371555167378675e-14
146,droplet,3m,18m,female,Spleen,nan,T cell,Tnfsf11,9.894171714782715,5.793112450191984e-06,5.7318058679811656e-05,0.00015768103185109794,2.1407069847979957e-09
147,droplet,3m,18m,female,Marrow,nan,macrophage,Slc7a5,9.737859725952148,4.047245056426618e-06,3.941151226172224e-05,5.4867359722265974e-05,3.151174622389164e-06
148,droplet,3m,18m,female,Marrow,nan,precursor B cell,Klf6,9.460967063903809,0.00035186862805858254,3.7191613955656067e-05,0.0003541716141626239,2.0365555649981402e-32
149,droplet,3m,18m,female,Mammary_Gland,nan,stromal cell,Mid1,9.442582130432129,3.977869710070081e-06,3.7561370845651254e-05,0.00011093973444076255,1.2003138587631105e-06
150,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Eif4ebp1,9.383577346801758,0.0002133132074959576,2.273260906804353e-05,0.0002260464825667441,5.563538435402195e-51
151,droplet,3m,18m,female,Spleen,nan,T cell,Casp1,9.352038383483887,1.0216362170467619e-05,9.554381540510803e-05,0.0001727494818624109,1.4651689230163516e-25
152,droplet,3m,18m,female,Marrow,nan,proerythroblast,Dusp1,9.257128715515137,0.0009029888897202909,9.754524944582954e-05,0.0008047372102737427,1.0421083930729118e-13
153,droplet,3m,18m,female,Marrow,nan,monocyte,Cct6a,9.136737823486328,2.3671189410379156e-05,2.590769554444705e-06,5.7927485613618046e-05,7.001229734941317e-07
154,droplet,3m,18m,female,Mammary_Gland,nan,stromal cell,Gm12216,9.106361389160156,1.5208135664579459e-05,0.00013849078095518053,0.00037769615300931036,5.143102499256165e-09
155,droplet,3m,18m,female,Marrow,nan,monocyte,Ppp1r15a,9.08438777923584,0.00021990391542203724,2.4206792659242637e-05,0.00022782520682085305,1.1959008312312405e-64
156,droplet,3m,18m,female,Mammary_Gland,nan,basal cell,Trib3,9.08344841003418,6.879751163069159e-05,7.573940820293501e-06,0.00010615854262141511,1.4985540291307686e-20
